left_elbow_angle,right_elbow_angle,shoulder_hip_dist,view_type,label
154.15,157.99,0.0531,2,1
159.47,158.87,0.0563,2,1
161.08,157.3,0.0604,2,1
162.03,159.78,0.0625,2,1
163.39,160.45,0.0635,2,1
159.59,161.63,0.0667,2,1
157.98,163.9,0.0667,2,1
158.06,161.77,0.0688,2,1
156.11,164.69,0.074,2,1
154.54,165.35,0.076,2,1
154.58,162.47,0.0719,2,1
153.81,166.1,0.0719,2,1
156.63,164.4,0.0667,2,1
154.61,162.15,0.0656,2,1
156.01,159.58,0.0625,2,1
156.08,160.61,0.0625,2,1
156.72,164.54,0.0615,2,1
155.95,163.32,0.0594,2,1
154.02,162.08,0.0604,2,1
153.71,156.21,0.0635,2,1
152.36,158.42,0.0635,2,1
155.28,157.39,0.0646,2,1
157.66,152.81,0.0656,2,1
161.68,152.64,0.0625,2,1
160.48,152.06,0.0625,2,1
158.14,151.9,0.0604,2,1
162.16,156.97,0.0604,2,1
165.87,156.38,0.0594,2,1
164.89,159.03,0.0635,2,1
169.83,163.76,0.0688,2,1
167.24,161.32,0.0833,2,1
171.29,148.06,0.0906,2,-1
171.57,148.89,0.0896,2,-1
172.63,155.54,0.0927,2,1
170.9,153.93,0.0948,2,1
155.22,148.97,0.0958,2,-1
149.67,154.14,0.099,2,1
144.16,157.86,0.1021,2,1
140.36,156.55,0.1094,2,1
139.63,147.97,0.1104,2,-1
138.0,157.2,0.1229,2,1
142.44,164.51,0.125,2,1
150.08,169.45,0.124,2,1
159.71,165.82,0.125,2,1
161.73,163.16,0.1354,2,1
164.23,157.95,0.1385,2,1
167.32,151.65,0.1375,2,1
167.4,144.24,0.1365,2,-1
167.03,140.21,0.1365,2,-1
168.33,152.04,0.1375,2,1
168.19,150.53,0.1385,2,1
168.9,149.56,0.1375,2,-1
168.99,148.07,0.1365,2,-1
168.43,148.99,0.1365,2,-1
168.02,155.33,0.1354,2,1
168.59,159.67,0.1354,2,1
168.47,155.9,0.1344,2,1
169.03,156.11,0.1333,2,1
168.39,153.58,0.1302,2,1
170.11,154.68,0.1302,2,1
170.36,164.69,0.1292,2,1
171.38,162.71,0.1292,2,1
171.26,165.5,0.124,2,1
171.08,161.66,0.1177,2,1
170.07,163.84,0.1156,2,1
168.65,158.16,0.1135,2,1
168.03,161.85,0.1135,2,1
167.93,164.76,0.1135,2,1
166.65,160.19,0.1125,2,1
167.4,156.67,0.1115,2,1
167.02,150.57,0.1052,2,1
166.93,150.03,0.1031,2,1
166.33,148.91,0.1031,2,-1
165.46,151.69,0.1021,2,1
156.17,154.16,0.1031,2,1
161.61,156.18,0.101,2,1
165.71,158.57,0.099,2,1
167.19,159.2,0.0969,2,1
169.72,166.5,0.0979,2,1
168.82,170.48,0.099,2,1
169.75,169.94,0.1062,2,1
169.88,170.48,0.1104,2,1
169.49,168.67,0.1115,2,1
169.12,168.82,0.1125,2,1
166.41,166.34,0.1135,2,1
165.34,164.52,0.1135,2,1
166.41,156.06,0.1146,2,1
168.09,162.12,0.1125,2,1
169.2,166.19,0.1083,2,1
168.79,165.49,0.1094,2,1
154.08,165.17,0.1042,2,1
138.54,152.58,0.101,2,1
138.04,157.83,0.1052,2,1
151.04,158.76,0.1073,2,1
156.91,159.74,0.1083,2,1
159.47,146.21,0.1062,2,-1
161.52,148.8,0.1052,2,-1
146.08,153.99,0.1062,2,1
141.07,151.22,0.1073,2,1
142.5,159.17,0.1094,2,1
142.55,159.85,0.1104,2,1
142.98,167.55,0.1156,2,1
143.42,161.77,0.1125,2,1
139.24,156.38,0.1135,2,1
159.27,154.16,0.1219,2,1
162.53,154.67,0.1271,2,1
162.18,156.18,0.1375,2,1
163.36,177.75,0.149,2,1
165.84,178.54,0.15,2,1
167.57,176.42,0.1458,2,1
167.27,175.27,0.1469,2,1
167.63,167.23,0.149,2,1
168.22,164.02,0.15,2,1
168.54,149.14,0.1562,2,-1
166.64,143.67,0.1594,2,-1
166.48,149.57,0.1552,2,-1
166.9,150.13,0.1562,2,1
164.54,155.87,0.1562,2,1
162.85,154.88,0.1542,2,1
163.02,162.62,0.1521,2,1
162.16,171.34,0.1542,2,1
164.02,168.01,0.1521,2,1
162.9,163.78,0.151,2,1
164.41,172.3,0.1531,2,1
164.41,172.99,0.1521,2,1
167.27,176.05,0.1542,2,1
167.86,174.09,0.1542,2,1
167.59,168.44,0.1552,2,1
168.45,168.18,0.1552,2,1
168.6,170.06,0.1583,2,1
168.73,169.73,0.1583,2,1
168.73,161.86,0.1594,2,1
168.13,161.2,0.1583,2,1
168.81,162.92,0.1562,2,1
168.53,157.94,0.1562,2,1
168.53,154.77,0.1604,2,1
166.25,157.94,0.1625,2,1
164.95,157.31,0.1625,2,1
161.69,160.0,0.1656,2,1
160.31,159.7,0.1688,2,1
157.55,165.16,0.1688,2,1
152.73,165.91,0.1719,2,1
148.12,148.97,0.1781,2,-1
143.17,140.33,0.1844,2,-1
138.96,133.81,0.1854,2,-1
133.96,114.68,0.1885,2,-1
132.31,112.6,0.1906,2,-1
130.35,102.65,0.1938,2,-1
126.86,112.05,0.1875,2,-1
119.11,105.5,0.1844,2,-1
106.66,99.47,0.1844,2,-1
